=== PARAMETRY SYMULACJI ===
Liczba kanalow: 30
Dlugosc kolejki: 10
Natezenie ruchu (lambda): 1.0
Srednia dlugosc rozmowy (N): 20.0, Sigma: 5.0
Min. dlugosc rozmowy: 10.0, Maks: 30.0
Czas symulacji: 30 s
===========================

Krok (s)   | Kolejka (Q)  | Czas Oczek. (W)  | Ro (Zajetosc)  | Obsluzeni  | Odrzuceni 
-------------------------------------------------------------------------------------
0          | 0            | 0.0              | 0.0333         | 0          | 0         
1          | 0            | 0.0              | 0.0667         | 0          | 0         
2          | 0            | 0.0              | 0.1            | 0          | 0         
3          | 0            | 0.0              | 0.1667         | 0          | 0         
4          | 0            | 0.0              | 0.3333         | 0          | 0         
5          | 0            | 0.0              | 0.4333         | 0          | 0         
6          | 0            | 0.0              | 0.5            | 0          | 0         
7          | 0            | 0.0              | 0.5333         | 0          | 0         
8          | 0            | 0.0              | 0.6            | 0          | 0         
9          | 0            | 0.0              | 0.7            | 0          | 0         
10         | 0            | 0.0              | 0.7667         | 0          | 0         
11         | 0            | 0.0              | 0.8333         | 0          | 0         
12         | 0            | 0.0              | 0.8333         | 1          | 0         
13         | 0            | 0.0              | 0.9            | 1          | 0         
14         | 0            | 0.0              | 0.9333         | 1          | 0         
15         | 0            | 0.0              | 0.9667         | 2          | 0         
16         | 0            | 0.0              | 1.0            | 2          | 0         
17         | 1            | 1.0              | 1.0            | 2          | 0         
18         | 2            | 2.0              | 1.0            | 3          | 0         
19         | 2            | 2.0              | 1.0            | 5          | 0         
20         | 1            | 1.0              | 1.0            | 7          | 0         
21         | 3            | 3.0              | 1.0            | 7          | 0         
22         | 4            | 4.0              | 1.0            | 7          | 0         
23         | 5            | 5.0              | 1.0            | 8          | 0         
24         | 4            | 4.0              | 1.0            | 10         | 0         
25         | 3            | 3.0              | 1.0            | 13         | 0         
26         | 5            | 5.0              | 1.0            | 13         | 0         
27         | 6            | 6.0              | 1.0            | 14         | 0         
28         | 4            | 4.0              | 1.0            | 18         | 0         
29         | 4            | 4.0              | 1.0            | 21         | 0         
